symbol,timeframe,slice_combination,regime,regime_symbol,diagnostic_status,regime_window_rows,slice_n,slice_mean_ret_costadj,slice_win_rate,slice_t_stat_nw,slice_p_value_nw,slice_pass,baseline_mean_ret_costadj,excess_vs_baseline,best_parent_filter,best_parent_mean_ret_costadj,excess_vs_best_parent,rank,bin_mode,validation_n_folds,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,best_fwd_horizon,search_wide_family_size_regime,search_wide_rank_regime,search_wide_bh_pass_regime,search_wide_bonferroni_pass_regime,research_shard_id,candidate_key,strict_gate_pass,status,live_decay_flag,not_regime_evaluated,all_regime_mean_ret_costadj,regime_excess_vs_all,regime_candidate_status
DOT/USD,1d,cross_TLT_state_slope=downtrend + state_slope=flat,bull,BTC/USD,ok,395,11,0.09226286934784719,1.0,14.014520465930902,0.0,False,0.0018012901822515531,0.09046157916559563,state_slope=flat,0.047350813627287415,0.04491205572055978,11,rolling,4,short,rejected,late_emerging_recent_only,37,False,31,True,0.0587166634546885,0.0428809566417348,cross_TLT_state_slope=downtrend,0.0181554528455485,3.810505628654148e-05,1,1,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,1,True,True,crypto-1d-01,,False,,,False,0.03426837126713107,0.05799449808071612,unsupported
LTC/USD,1d,cross_USO_state_slope=uptrend + cross_TLT_state_slope=uptrend + state_ext=neutral,bull,BTC/USD,ok,515,9,0.036852186839332085,1.0,5.4396651427996146,5.338080777406162e-08,False,0.0008940744843032163,0.03595811235502887,cross_USO_state_slope=uptrend + cross_TLT_state_slope=uptrend,0.006850036804409334,0.03000215003492275,45,rolling,4,long,rejected,late_emerging_valid_supported,6,False,16,True,0.0150357412300262,0.0242248214585681,cross_USO_state_slope=uptrend + state_ext=neutral,0.004720611760396,0.0211466401370159,0,0,0.0,0,8,7,7,7.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,4,True,True,crypto-1d-02,,False,,,False,0.008227563823205617,0.02862462301612647,unsupported
LTC/USD,1h,cross_USO_state_ext=stretched_down + cross_TLT_state_slope=downtrend + state_ext=neutral,bull,BTC/USD,ok,2307,4,0.007183042972243014,1.0,4.184012164063253,2.8640877518748553e-05,False,-0.0014712996628385776,0.008654342635081592,cross_TLT_state_slope=downtrend + state_ext=neutral,0.0006772738652423196,0.0065057691070006946,3,rolling,4,long,rejected,late_emerging_recent_only,49,False,33,True,0.0035568993440434,0.0067205140328875,cross_USO_state_ext=stretched_down + cross_TLT_state_slope=downtrend,0.0026755672793167,0.0210540175315383,1,1,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,5,True,True,crypto-1h-02,,False,,,False,0.0026287815598640255,0.004554261412378989,unsupported
CRV/USD,1d,cross_TLT_state_slope=downtrend + state_slope=flat,bull,BTC/USD,ok,395,18,0.06827936344318611,0.8333333333333334,2.3616476475532093,0.018193925399633937,True,-0.007950843229596606,0.07623020667278271,cross_TLT_state_slope=downtrend,0.03282314922775512,0.035456214215430985,9,rolling,4,short,rejected,late_emerging_recent_only,37,False,23,True,0.0462219155193992,0.0345073266217769,cross_TLT_state_slope=downtrend,0.0234926750286659,5.132532034135551e-05,1,1,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,18,False,False,crypto-1d-01,,False,,,False,0.03762178815357465,0.03065757528961146,regime_switching_research_only
SOL/USD,1d,cross_TLT_state_slope=downtrend + state_ext=stretched_up,bull,BTC/USD,ok,289,21,0.053135169907235685,0.9047619047619048,2.2913273090805646,0.021944490282402862,True,-0.11127433325793668,0.16440950316517236,cross_TLT_state_slope=downtrend,0.019028201101174248,0.03410696880606144,38,rolling,4,short,rejected,late_emerging_valid_supported,78,False,17,True,0.0456382898565296,0.0428490830969105,cross_TLT_state_slope=downtrend,0.0197642045820936,0.0010895250320701,0,0,0.0,0,8,8,7,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,23,False,False,crypto-1d-02,,False,,,False,0.0018936536559422258,0.05124151625129346,regime_switching_research_only
DOT/USD,1d,cross_USO_state_ext=stretched_down + state_ext=stretched_down,bull,BTC/USD,ok,395,30,0.05058328730051765,0.7,2.0606842683683317,0.03933317143256687,True,0.0018012901822515531,0.0487819971182661,state_ext=stretched_down,0.031571386715978554,0.019011900584539096,34,rolling,4,short,rejected,late_emerging_valid_supported,111,False,73,True,0.0298155832663,0.0139798764533463,cross_USO_state_ext=stretched_down,0.0008198439287995,0.0164588606321907,0,0,0.0,0,8,8,6,7.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,28,False,False,crypto-1d-01,,False,,,False,0.0074362565641755566,0.043147030736342094,regime_switching_research_only
AAVE/USD,1d,cross_USO_state_slope=uptrend + state_ext=stretched_up,bull,BTC/USD,ok,515,60,0.04794692912125718,0.65,2.048502124563887,0.04051082413483553,True,-0.006850746648017595,0.05479767576927477,cross_USO_state_slope=uptrend,0.027992144473579297,0.01995478464767788,2,rolling,4,short,rejected,late_emerging_regime_switching,80,False,56,True,0.0648296406572256,0.0623267290020953,cross_USO_state_slope=uptrend,0.0425320659704687,3.72311070861997e-11,2,11,0.5,0,8,8,8,9.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,29,False,False,crypto-1d-00,,False,,,False,0.04295533939125402,0.00499158973000316,regime_switching_research_only
AVAX/USD,1d,cross_USO_state_vol=mid_vol + state_ext=stretched_down,bull,BTC/USD,ok,515,53,0.04409143811237402,0.6792452830188679,2.3348034262973263,0.019553692134717915,True,-0.0045968182826128245,0.04868825639498685,state_ext=stretched_down,0.03749030884038242,0.0066011292719916,8,rolling,4,short,rejected,late_emerging_recent_only,222,False,81,True,0.0371033857361939,0.032905593332151,cross_USO_state_vol=mid_vol,0.0053072652419978,0.0045044949069015,1,1,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,19,False,False,crypto-1d-00,,False,,,False,0.00990656220457522,0.034184875907798805,regime_switching_research_only
DOT/USD,1d,cross_USO_state_slope=downtrend + state_slope=flat,bull,BTC/USD,ok,395,26,0.04321841124552464,0.7307692307692307,2.3284376227383263,0.01988887785011295,True,0.0018012901822515531,0.04141712106327309,state_slope=flat,0.047350813627287415,-0.0041324023817627745,5,rolling,4,short,rejected,late_emerging_recent_only,67,False,22,True,0.071535641221098,0.0556999344081442,cross_USO_state_slope=downtrend,0.0532752410076836,0.0009526205232166,1,1,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,21,False,False,crypto-1d-01,,False,,,False,0.02684872159217251,0.01636968965335213,regime_switching_research_only
LTC/USD,1d,cross_USO_state_slope=flat + cross_TLT_state_ext=neutral + state_ext=stretched_down,bull,BTC/USD,ok,515,23,0.03447507181120173,0.6086956521739131,2.579492253117736,0.009894567782982921,True,0.0008940744843032163,0.03358099732689851,cross_USO_state_slope=flat + state_ext=stretched_down,0.015190147170846694,0.019284924640355035,21,rolling,4,long,rejected,late_emerging_valid_supported,52,False,46,True,0.0253971179729625,0.0345861982015045,cross_USO_state_slope=flat + state_ext=stretched_down,0.0061935015931418,0.0375934819491194,1,10,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,16,False,False,crypto-1d-02,,False,,,False,0.00930979501209238,0.02516527679910935,regime_switching_research_only
DOGE/USD,1d,state_volume=vol_quiet + state_ext=stretched_down,bull,BTC/USD,ok,515,65,0.03266915422333492,0.6923076923076923,2.024321599814566,0.04293707259765256,True,-0.009313227039961937,0.041982381263296856,state_ext=stretched_down,0.02216425318861143,0.010504901034723488,36,rolling,4,short,rejected,late_emerging_valid_supported,255,False,135,True,0.021372881347497,0.0143267545792097,state_volume=vol_quiet,0.0105942549618951,0.0446377651465774,0,0,0.0,0,8,8,5,7.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,30,False,False,crypto-1d-01,,False,,,False,0.010892691960247747,0.021776462263087173,regime_switching_research_only
XRP/USD,1d,state_ext=neutral + state_vol=mid_vol,bull,BTC/USD,ok,332,15,0.028015066283502706,0.7333333333333333,2.31411047196551,0.02066166314092266,True,-0.01867915717188282,0.04669422345538553,state_ext=neutral,0.035019896314982625,-0.0070048300314799194,9,rolling,4,short,rejected,late_emerging_valid_supported,31,False,21,True,0.0503599270252599,0.0426200563430553,state_vol=mid_vol,0.0261764240616117,3.4994229736184934e-13,1,10,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,provisional,rejected,rejected,rejected,5,136,22,False,False,crypto-1d-02,XRP/USD|1d|state_ext=neutral + state_vol=mid_vol|rolling,False,research_only,False,False,0.03447388478048821,-0.006458818496985506,regime_switching_research_only
LTC/USD,1d,cross_USO_state_vol=low_vol + state_ext=stretched_up,bull,BTC/USD,ok,515,152,0.02718112860545481,0.6907894736842105,2.40182033536367,0.01631371862085884,True,-0.0012940744843032126,0.02847520308975802,cross_USO_state_vol=low_vol,0.01648748544470077,0.010693643160754041,10,rolling,4,short,rejected,late_emerging_recent_only,140,False,78,True,0.0324373838226529,0.0302483035941109,cross_USO_state_vol=low_vol,0.0188285032940135,0.0102673004047688,1,1,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,17,False,False,crypto-1d-02,,False,,,False,0.022793995503210394,0.004387133102244416,regime_switching_research_only
BTC/USD,1d,cross_TLT_state_vol=high_vol + state_ext=stretched_up,bull,BTC/USD,ok,515,37,0.02078678708283709,0.6756756756756757,2.09952518526313,0.03577063007381387,True,0.006445659532854977,0.014341127549982112,cross_TLT_state_vol=high_vol,0.022346007129516527,-0.0015592200466794381,4,rolling,4,long,rejected,late_emerging_valid_supported,112,False,22,True,0.0385398424787299,0.0444661642288084,cross_TLT_state_vol=high_vol,0.0031285379245224,0.0052868411203785,2,110,0.5,0,7,7,7,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,26,False,False,crypto-1d-00,,False,,,False,0.021728563752101845,-0.0009417766692647565,regime_switching_research_only
DOT/USD,1h,state_ret_day=ret_day_flat + state_ext=stretched_up + state_slope=uptrend,bull,BTC/USD,ok,2307,42,0.010038872842539811,0.6904761904761905,2.333240068317076,0.0196355489593516,True,0.001278900315619634,0.008759972526920177,state_ret_day=ret_day_flat + state_ext=stretched_up,0.005039418786094954,0.004999454056444857,9,rolling,4,short,rejected,late_emerging_valid_supported,98,False,22,True,0.0071145793403984,0.01047833573569,state_ret_day=ret_day_flat + state_ext=stretched_up,0.0078649763657638,0.0278279448556144,0,0,0.0,0,8,8,6,7.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,20,False,False,crypto-1h-01,,False,,,False,0.003746582579219465,0.006292290263320346,regime_switching_research_only
LTC/USD,1h,state_ext=stretched_up + state_slope=flat,bull,BTC/USD,ok,2307,42,0.005886279229810172,0.6190476190476191,1.9625001346110122,0.04970428495509771,True,0.0010712996628385778,0.004814979566971594,state_ext=stretched_up,0.0030667333194748176,0.0028195459103353545,2,rolling,4,short,rejected,late_emerging_recent_only,98,False,23,True,0.0043718683279058,0.0082082536390616,state_ext=stretched_up,0.0039318233969607,0.0041446578407171,1,1,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,31,False,False,crypto-1h-02,,False,,,False,0.005825776844895829,6.050238491434306e-05,regime_switching_research_only
DOT/USD,1h,state_utc_session=utc_us + state_ext=stretched_up + state_slope=uptrend,bull,BTC/USD,ok,2307,180,0.004168303834960617,0.5888888888888889,2.198067556675118,0.02794429207814164,True,0.001278900315619634,0.002889403519340983,state_utc_session=utc_us + state_slope=uptrend,0.0034883626043726267,0.0006799412305879904,5,rolling,4,short,rejected,late_emerging_recent_only,318,False,90,True,0.0055148511999578,0.0088786075952494,state_utc_session=utc_us + state_ext=stretched_up,0.0025295107263459,0.0037060300472144,1,1,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,25,False,False,crypto-1h-01,,False,,,False,0.0017524417491329893,0.0024158620858276275,regime_switching_research_only
SOL/USD,1d,cross_USO_state_slope=downtrend + cross_TLT_state_slope=uptrend + state_ext=stretched_down,bull,BTC/USD,ok,289,5,0.08089354617143772,0.8,2.6895142864765047,0.007155608408391689,False,0.11087433325793665,-0.029980787086498928,cross_TLT_state_slope=uptrend,0.21801177135943473,-0.137118225187997,25,rolling,4,long,rejected,late_emerging_recent_only,76,False,23,True,0.029499889655773,0.0392890964153921,cross_TLT_state_slope=uptrend + state_ext=stretched_down,0.0124172327827961,0.0485941424990525,1,1,0.25,0,7,7,7,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,3,136,15,False,False,crypto-1d-02,,False,,,False,0.006394233613944177,0.07449931255749355,unsupported
BCH/USD,1d,cross_USO_state_slope=flat + cross_TLT_state_slope=flat + state_ext=neutral,bull,BTC/USD,ok,515,11,0.061817161213775625,0.7272727272727273,2.261071208465595,0.023754847923688205,False,0.011064795148448993,0.05075236606532663,cross_USO_state_slope=flat + cross_TLT_state_slope=flat,0.03263574921684485,0.02918141199693077,21,rolling,4,long,rejected,late_emerging_valid_supported,17,False,15,True,0.0744639638208942,0.0812445775393452,cross_USO_state_slope=flat + state_ext=neutral,0.0405660689313673,0.0008656434806959,0,0,0.0,0,8,8,8,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,24,False,False,crypto-1d-00,,False,,,False,0.033903924996297165,0.02791323621747846,unsupported
DOT/USD,1d,state_ext=stretched_up + state_vol=low_vol,bull,BTC/USD,ok,395,11,0.061303009065203896,0.7272727272727273,2.7799203052286057,0.005437224034118948,False,0.0018012901822515531,0.059501718882952345,state_vol=low_vol,0.05347661591380073,0.007826393151403169,1,rolling,4,short,survived,clean_survivor_wf_failed,28,True,19,True,0.0398788978499569,0.0240431910370032,state_ext=stretched_up,0.005658618667924,0.0087924309462963,0,0,0.0,6,8,8,8,17.0,survived,survived,survived,rejected,provisional,survived,survived,survived,5,136,14,False,False,crypto-1d-01,DOT/USD|1d|state_ext=stretched_up + state_vol=low_vol|rolling,False,research_only,False,False,0.047969266792683,0.013333742272520897,unsupported
AAVE/USD,1d,cross_USO_state_slope=uptrend + cross_TLT_state_slope=flat + state_ext=stretched_up,bull,BTC/USD,ok,515,30,0.05844725105721245,0.7,1.5641216723321243,0.1177889972790207,False,-0.006850746648017595,0.06529799770523004,cross_USO_state_slope=uptrend + state_ext=stretched_up,0.04794692912125718,0.010500321935955272,7,rolling,4,short,rejected,late_emerging_recent_only,30,False,28,True,0.0714054046216952,0.0689024929665649,cross_USO_state_slope=uptrend + state_ext=stretched_up,0.0065757639644695,1.3477885474344475e-11,1,1,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,42,False,False,crypto-1d-00,,False,,,False,0.0550554718744708,0.0033917791827416457,regime_switching_research_only
CRV/USD,1d,state_ext=stretched_up + state_slope=flat,bull,BTC/USD,ok,395,41,0.05174905328137298,0.7073170731707317,1.477571691825165,0.13952245600468194,False,-0.007950843229596606,0.05969989651096958,state_slope=flat,0.029357818354551816,0.02239123492682116,32,rolling,4,short,rejected,late_emerging_valid_supported,52,False,35,True,0.062653108080759,0.0509385191831368,state_ext=stretched_up,0.0264847880615493,0.0102946759220603,0,0,0.0,0,8,8,6,7.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,3,136,46,False,False,crypto-1d-01,CRV/USD|1d|state_ext=stretched_up + state_slope=flat|rolling,False,research_only,False,False,0.02436395883613977,0.027385094445233207,regime_switching_research_only
SOL/USD,1d,cross_USO_state_ext=stretched_down + cross_TLT_state_slope=uptrend + state_ext=stretched_down,bull,BTC/USD,ok,289,9,0.04985666472907418,0.7777777777777778,1.6008073548435828,0.109419594103491,False,0.11087433325793665,-0.06101766852886247,cross_TLT_state_slope=uptrend,0.21801177135943473,-0.16815510663036054,23,rolling,4,long,rejected,late_emerging_recent_only,75,False,22,True,0.0389201405168049,0.048709347276424,cross_USO_state_ext=stretched_down + cross_TLT_state_slope=uptrend,0.0156203681306369,0.0059706078218679,1,1,0.25,0,8,7,7,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,39,False,False,crypto-1d-02,,False,,,False,0.014425632703033073,0.0354310320260411,unsupported
SUSHI/USD,1d,state_volume=vol_normal + state_ext=stretched_up,bull,BTC/USD,ok,515,44,0.04826675768572801,0.7272727272727273,1.8714698556233287,0.061279984305382396,False,0.004339228921362992,0.043927528764365016,state_volume=vol_normal,0.033615627519786064,0.014651130165941946,8,rolling,4,short,rejected,late_emerging_valid_supported,125,False,31,True,0.0547339528438434,0.0449719392811464,state_ext=stretched_up,0.0282761367487299,0.0161031458281351,1,1000,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,provisional,rejected,rejected,rejected,5,136,33,False,False,crypto-1d-02,,False,,,False,0.03696106109057149,0.011305696595156518,regime_switching_research_only
LINK/USD,1d,cross_USO_state_slope=uptrend + cross_TLT_state_slope=flat + state_ext=stretched_down,bull,BTC/USD,ok,515,26,0.04583112069931345,0.6923076923076923,1.5698524308655195,0.11644944648380262,False,-0.007206504969108993,0.05303762566842244,cross_USO_state_slope=uptrend + state_ext=stretched_down,0.0368454007677218,0.008985719931591647,30,rolling,4,short,rejected,late_emerging_valid_supported,39,False,51,True,0.038617781104938,0.0370195514109375,cross_USO_state_slope=uptrend + cross_TLT_state_slope=flat,0.0148576405342674,0.0420864132024434,0,0,0.0,0,8,8,7,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,41,False,False,crypto-1d-01,,False,,,False,0.0324010619233034,0.01343005877601005,regime_switching_research_only
SOL/USD,1d,cross_USO_state_slope=uptrend + cross_TLT_state_slope=downtrend + state_ext=stretched_up,bull,BTC/USD,ok,289,13,0.04349041902170398,0.8461538461538461,1.199358574046372,0.23038854827404776,False,-0.11127433325793668,0.15476475227964065,cross_TLT_state_slope=downtrend + state_ext=stretched_up,0.053135169907235685,-0.009644750885531704,46,rolling,4,short,rejected,late_emerging_valid_supported,14,False,16,True,0.049208524280791,0.0464193175211719,cross_TLT_state_slope=downtrend + state_ext=stretched_up,0.0035702344242613,0.0003577437604507,0,0,0.0,0,8,7,7,7.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,63,False,False,crypto-1d-02,,False,,,False,0.016735771954960628,0.026754647066743353,unsupported
SUSHI/USD,1d,cross_USO_state_slope=downtrend + state_ext=neutral,bull,BTC/USD,ok,515,19,0.04325003534605707,0.7368421052631579,1.469242016626872,0.14176715765468284,False,0.004339228921362992,0.03891080642469408,state_ext=neutral,0.01110587245720114,0.03214416288885593,7,rolling,4,short,rejected,late_emerging_recent_only,33,False,19,True,0.0386208225754325,0.0288588090127355,cross_USO_state_slope=downtrend,0.0406147534117674,0.034895312891833,1,1,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,3,136,47,False,False,crypto-1d-02,,False,,,False,0.0012349497541451417,0.04201508559191193,regime_switching_research_only
