rank,symbol,timeframe,slice_combination,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,search_wide_family_size,search_wide_rank,search_wide_bh_pass,search_wide_bonferroni_pass
11,IBIT,1h,state_ext=stretched_up + state_slope=uptrend,short,survived,clean_survivor_wf_mixed,247,True,101,True,0.006055908115228698,0.005314913835513135,state_ext=stretched_up,0.0006344797132874181,0.017411424273525045,1,0010,0.25,3,7,7,6,13.75,survived,survived,rejected,rejected,rejected,survived,rejected,rejected,10098,616,False,False
12,HUM,1h,state_session=morning + state_ext=stretched_up,long,survived,over_specified_survivor,128,True,110,True,0.00800002551528403,-0.00015005477979446527,state_ext=stretched_up,-0.001897141207725387,0.001972853232407923,1,0001,0.25,8,1,0,8,13.5,survived,survived,survived,survived,survived,survived,survived,survived,10098,230,False,False
13,NFLX,1h,state_ext=neutral + state_vol=low_vol,short,survived,clean_survivor_wf_mixed,380,True,148,True,0.006440105802803948,0.005079472178325749,state_vol=low_vol,0.0011851096432313798,0.011470818509493608,1,0001,0.25,2,8,8,7,13.25,survived,rejected,rejected,rejected,survived,rejected,rejected,rejected,10098,512,False,False
14,BITO,1h,state_ext=stretched_up + state_vol=high_vol,short,survived,clean_survivor_wf_failed,117,True,66,True,0.00618256996476227,0.005094057931391468,state_ext=stretched_up,0.00038989971484382126,0.0016578723412181695,0,0000,0.0,2,8,7,8,12.75,survived,survived,rejected,rejected,provisional,rejected,rejected,rejected,10098,217,False,False
15,MRK,1h,state_ext=stretched_down + state_slope=downtrend,long,survived,over_specified_survivor,142,True,56,True,0.006078848639474735,0.005150362474468463,state_ext=stretched_down,-4.055100272997315e-05,0.00040201788062366184,0,0000,0.0,6,8,1,8,12.25,survived,survived,rejected,survived,provisional,survived,survived,survived,10098,119,True,False
16,PLD,1h,state_ext=neutral + state_vol=mid_vol,long,rejected,late_emerging_recent_only,315,False,132,True,0.004028257965198075,0.003838683385223238,state_vol=mid_vol,0.0014417972963262676,0.022701171312139445,1,0001,0.25,2,8,8,7,10.25,rejected,rejected,rejected,survived,survived,rejected,rejected,rejected,10098,705,False,False
17,IYT,1h,state_ext=neutral + state_slope=downtrend,long,rejected,late_emerging_regime_switching,337,False,107,True,0.005818356494957492,0.004487316965987888,state_slope=downtrend,0.00030120275870698394,0.0027480184580570555,2,0011,0.5,1,8,7,8,9.75,rejected,rejected,rejected,rejected,survived,rejected,rejected,rejected,10098,261,False,False
18,UNH,1h,state_ext=stretched_up + state_vol=low_vol,long,rejected,late_emerging_recent_only,41,False,79,True,0.009243418654984238,0.005565127751100054,state_vol=low_vol,0.003216276679162886,0.009756292564897517,1,0001,0.25,1,8,8,8,9.5,rejected,rejected,rejected,rejected,survived,rejected,rejected,rejected,10098,473,False,False
19,ISRG,1h,state_ext=stretched_down + state_vol=high_vol,long,rejected,late_emerging_recent_only,44,False,85,True,0.007875682312651015,0.009289383728179635,state_ext=stretched_down,0.0010870226887364828,0.005364065527982298,1,0001,0.25,1,8,8,8,9.5,rejected,rejected,rejected,rejected,survived,rejected,rejected,rejected,10098,350,False,False
20,MU,1h,state_session=morning + state_slope=uptrend,long,survived,over_specified_survivor,177,True,113,True,0.004751492430041904,-0.004135034582507042,state_slope=uptrend,-0.002096030856973639,0.04168835108751501,0,0000,0.0,5,0,0,5,9.25,survived,rejected,rejected,survived,rejected,survived,survived,survived,10098,1025,False,False
21,IWM,1h,state_session=morning + state_ext=stretched_down,long,rejected,late_emerging_recent_only,346,False,104,True,0.007290497349441472,0.006894055809581373,state_ext=stretched_down,0.003075619778959874,0.012484178575065119,1,0001,0.25,1,8,7,8,9.25,rejected,rejected,rejected,rejected,survived,rejected,rejected,rejected,10098,527,False,False
22,UNI/USD,1h,state_session=lunch + state_slope=downtrend,long,rejected,late_emerging_regime_switching,198,False,76,True,0.005978900550063665,0.006487743747337934,state_session=lunch,0.005204827912144731,0.0120622655928595,2,0011,0.5,0,8,8,8,9.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,518,False,False
23,ISRG,1h,state_ext=neutral + state_slope=uptrend,short,rejected,late_emerging_regime_switching,257,False,103,True,0.007927621601055111,0.0069139201855264905,state_slope=uptrend,0.0012768977861462626,2.1215018377596095e-06,2,0011,0.5,0,8,8,8,9.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,29,True,True
24,CVS,1h,state_ext=stretched_up + state_slope=uptrend,long,rejected,late_emerging_regime_switching,169,False,136,True,0.0071978826987235366,0.004228795245108262,state_ext=stretched_up,0.001267870573583487,9.923148385571068e-05,2,0011,0.5,0,8,8,8,9.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,77,True,False
25,APD,1h,state_ext=neutral + state_vol=low_vol,short,rejected,late_emerging_regime_switching,405,False,103,True,0.004652020905497122,0.005663535255326988,state_vol=low_vol,0.0011174570780043322,0.0004061723527395422,2,1001,0.5,0,8,8,8,9.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,122,True,False
26,T,1h,state_ext=neutral + state_vol=mid_vol,short,rejected,late_emerging_regime_switching,328,False,131,True,0.006358514548940156,0.0036309542881553607,state_vol=mid_vol,0.0009785963426819462,1.0999768238484364e-05,2,0101,0.5,0,8,8,8,9.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,42,True,False
27,ICE,1h,state_ext=neutral + state_slope=flat,short,rejected,late_emerging_regime_switching,424,False,126,True,0.008055942654672408,0.006401585757530448,state_slope=flat,0.0007583068144158284,1.8837601827303985e-05,2,0011,0.5,0,8,8,8,9.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,46,True,False
28,BCH/USD,1h,state_session=morning + state_ext=neutral + state_slope=downtrend,short,rejected,late_emerging_regime_switching,514,False,239,True,0.004199092315003732,0.003087754893358146,state_session=morning + state_slope=downtrend,0.0006768341244340528,8.857836451436896e-05,2,0011,0.5,0,8,8,8,9.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,75,True,False
29,BITO,1h,state_ext=stretched_up + state_slope=uptrend,short,survived,over_specified_survivor,226,True,105,True,0.005458513384563282,0.0043700013511924814,state_ext=stretched_up,-0.0003341568653551664,0.024753856439417188,1,0010,0.25,3,7,1,4,8.75,survived,survived,rejected,rejected,rejected,survived,rejected,rejected,10098,744,False,False
30,ETH/USD,1h,state_session=lunch + state_slope=downtrend,long,rejected,late_emerging_regime_switching,186,False,79,True,0.003964839750195403,0.004631875001232181,state_session=lunch,0.002686572716505,0.017574540712666842,2,0011,0.5,0,8,8,7,8.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,620,False,False
31,SUSHI/USD,1h,state_session=afternoon + state_slope=uptrend,short,rejected,late_emerging_regime_switching,878,False,297,True,0.004023150436927363,0.003816797933431845,state_slope=uptrend,0.0023015594581826315,0.0079794546697185,2,1001,0.5,0,8,8,7,8.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,426,False,False
32,T,1h,state_ext=neutral + state_vol=low_vol,short,rejected,late_emerging_regime_switching,470,False,79,True,0.008595030896577047,0.005867470635792252,state_vol=low_vol,0.0006504750649619865,0.0006954439578925609,2,1001,0.5,0,8,8,7,8.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,158,True,False
33,KRE,1h,state_session=lunch + state_ext=neutral,long,rejected,late_emerging_regime_switching,256,False,128,True,0.0031294525832431344,0.001707515425518605,state_session=lunch,0.0005792563677926772,0.007540440892305433,2,0101,0.5,0,8,8,7,8.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,414,False,False
34,KBE,1h,state_session=lunch + state_ext=neutral,long,rejected,late_emerging_regime_switching,268,False,134,True,0.002950675449498106,0.0015687078737404872,state_session=lunch,0.00043622210318944137,0.004372204189755591,2,0101,0.5,0,8,8,7,8.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,324,False,False
35,MO,1h,state_ext=stretched_up + state_slope=uptrend,long,rejected,rejected_unsupported,133,True,100,False,0.003905206215253906,0.003343880039131001,state_ext=stretched_up,0.00024270849365492023,0.06812543187963849,2,0101,0.5,2,8,8,2,8.5,rejected,rejected,rejected,survived,survived,rejected,rejected,rejected,10098,1408,False,False
36,SMH,1h,state_ext=neutral + state_vol=low_vol,long,rejected,late_emerging_valid_supported,434,False,50,True,0.00991962195735799,0.006235809563764871,state_vol=low_vol,0.0014265974781225207,1.3326775912592126e-05,2,0110,0.5,0,8,7,7,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,44,True,False
37,UPS,1h,state_ext=stretched_up + state_slope=uptrend,long,rejected,late_emerging_regime_switching,151,False,107,True,0.0031212337074885133,0.0020805416792554544,state_ext=stretched_up,0.0006054857526165656,0.03871275130850904,2,0101,0.5,0,8,8,6,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,984,False,False
38,AMD,1h,state_ext=neutral + state_vol=mid_vol,long,rejected,late_emerging_valid_supported,169,False,53,True,0.03309327410999971,0.024522255422990413,state_vol=mid_vol,0.019761739111654807,1.7647468262271815e-06,1,0010,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,27,True,True
39,KLAC,1h,state_ext=neutral + state_slope=flat,long,rejected,late_emerging_valid_supported,340,False,54,True,0.023449301512851697,0.018566534783350873,state_ext=neutral,0.007519454068564857,0.0034102356390048882,1,0010,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,provisional,rejected,rejected,rejected,10098,285,False,False
40,PLTR,1h,state_ext=stretched_down + state_vol=high_vol,short,rejected,late_emerging_recent_only,124,False,90,True,0.01264888467661019,0.011765515213924648,state_ext=stretched_down,0.007354952167370016,0.0013385495279594206,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,202,False,False
41,LTC/USD,1h,state_ext=stretched_down + state_vol=high_vol,long,rejected,late_emerging_recent_only,659,False,62,True,0.007445614499882845,0.008121620935197789,state_ext=stretched_down,0.006017412247692184,0.009577636207026119,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,468,False,False
42,CRWD,1h,state_ext=stretched_up + state_vol=mid_vol,long,rejected,late_emerging_recent_only,99,False,82,True,0.01135706424850516,0.012767212311937772,state_vol=mid_vol,0.005793772733755813,0.007433478482222533,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,408,False,False
43,ETHA,1h,state_ext=stretched_down + state_vol=low_vol,short,rejected,late_emerging_recent_only,83,False,81,True,0.012000908637987102,0.010127529865048834,state_vol=low_vol,0.005717800499902261,0.012841834441768896,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,533,False,False
44,AMAT,1h,state_ext=neutral + state_vol=mid_vol,long,rejected,late_emerging_valid_supported,190,False,72,True,0.015214327790156499,0.010001294347149511,state_ext=neutral,0.005502789287394691,0.0002937874338715396,1,0010,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,99,True,False
45,TSM,1h,state_ext=neutral + state_vol=low_vol,long,rejected,late_emerging_valid_supported,388,False,65,True,0.015859086441746773,0.013540105871757965,state_vol=low_vol,0.004530555846268611,0.001786440314956561,1,0100,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,provisional,rejected,rejected,rejected,10098,223,False,False
46,NFLX,1h,state_ext=stretched_down + state_vol=high_vol,short,rejected,late_emerging_recent_only,170,False,71,True,0.0066817978425113556,0.005321164218033156,state_ext=stretched_down,0.004284220705564033,0.0033930700797857316,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,284,False,False
47,AMZN,1h,state_ext=neutral + state_vol=high_vol,long,rejected,late_emerging_recent_only,164,False,108,True,0.009073031755054497,0.00763706399489834,state_vol=high_vol,0.0038375681945108705,0.0023066404980125466,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,244,False,False
48,XBI,1h,state_ext=neutral + state_vol=high_vol,long,rejected,late_emerging_recent_only,218,False,130,True,0.008611981279297947,0.006573724672365199,state_vol=high_vol,0.003758187801315699,0.00035244141366042037,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,108,True,False
49,HUM,1h,state_ext=neutral + state_vol=high_vol,long,rejected,late_emerging_recent_only,106,False,82,True,0.010057473855761565,0.0019073935606830697,state_vol=high_vol,0.0023053839379419006,0.005410475843325768,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,352,False,False
50,ADI,1h,state_ext=neutral + state_vol=low_vol,long,rejected,late_emerging_valid_supported,409,False,50,True,0.010231494371509267,0.008324153606660898,state_vol=low_vol,0.002149447350955451,0.004347027084489197,1,0010,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,323,False,False
51,AMAT,1h,state_ext=neutral + state_slope=flat,long,rejected,late_emerging_valid_supported,333,False,74,True,0.01491642430243054,0.009703390859423552,state_slope=flat,0.0019877326748677544,0.01150692355432481,1,0010,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,514,False,False
52,HUM,1h,state_session=lunch + state_slope=uptrend,long,rejected,late_emerging_recent_only,88,False,71,True,0.012961309148705833,0.004811228853627338,state_slope=uptrend,0.0019731151396459104,0.00023534593349072708,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,92,True,False
53,DOT/USD,1h,state_session=afternoon + state_ext=stretched_up + state_slope=uptrend,short,rejected,late_emerging_recent_only,433,False,97,True,0.006015174163281786,0.005165412956763515,state_session=afternoon + state_ext=stretched_up,0.001660203612624903,0.003146502956909103,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,274,False,False
54,ISRG,1h,state_ext=stretched_down + state_slope=downtrend,long,rejected,late_emerging_recent_only,183,False,90,True,0.008233706363502506,0.009647407779031126,state_ext=stretched_down,0.0014450467395879744,0.006835771480818931,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,390,False,False
55,ARKG,1h,state_ext=stretched_down + state_slope=downtrend,long,rejected,late_emerging_valid_supported,271,False,69,True,0.012849107572569766,0.008286880382994796,state_ext=stretched_down,0.0013894964881210406,0.004735419446919131,1,0010,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,335,False,False
56,SOXX,1h,state_session=morning + state_ext=stretched_up,long,rejected,late_emerging_recent_only,159,False,127,True,0.004420554218687365,3.520793760607502e-06,state_session=morning,0.001292256513991103,0.0013374575063644922,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,201,False,False
57,CVS,1h,state_ext=stretched_up + state_vol=high_vol,long,rejected,late_emerging_recent_only,117,False,100,True,0.007084237495856106,0.004115150042240832,state_ext=stretched_up,0.0011542253707160569,0.00025959958706933683,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,94,True,False
58,JNJ,1h,state_ext=stretched_up + state_vol=high_vol,long,rejected,late_emerging_recent_only,45,False,72,True,0.005180199748098808,0.004558728427363795,state_ext=stretched_up,0.0011102204401886844,0.019583826184383035,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,650,False,False
59,FDX,1h,state_ext=stretched_down + state_slope=downtrend,long,rejected,late_emerging_recent_only,110,False,97,True,0.008290198392480345,0.009295499119571407,state_ext=stretched_down,0.0010678835136299853,0.005362328227137336,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,349,False,False
60,PANW,1h,state_session=lunch + state_ext=stretched_up,long,rejected,late_emerging_recent_only,63,False,67,True,0.010409663145324518,0.003280868841669179,state_session=lunch,0.0010056400849539973,0.032077057907842654,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,873,False,False
61,CSX,1h,state_ext=neutral + state_vol=mid_vol,long,rejected,late_emerging_recent_only,295,False,206,True,0.0051678903592953535,0.0034120797220913946,state_vol=mid_vol,0.0008579412152602221,0.0008961456591560779,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,172,False,False
62,UPS,1h,state_ext=neutral + state_slope=flat,short,rejected,late_emerging_recent_only,408,False,116,True,0.006517100156979418,0.007957792185212476,state_slope=flat,0.0008317666291766928,0.0011096733504176726,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,192,False,False
63,ETHA,1h,state_ext=stretched_up + state_slope=uptrend,short,rejected,late_emerging_valid_supported,382,False,98,True,0.011656500785564223,0.009783122012625956,state_ext=stretched_up,0.0008234487874228189,0.0004553841352241683,1,0010,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,130,True,False
64,ELV,1h,state_ext=stretched_up + state_vol=high_vol,long,rejected,late_emerging_recent_only,85,False,81,True,0.00510679612211168,0.001925799976807053,state_ext=stretched_up,0.0006374183907527113,0.009882549786170314,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,477,False,False
65,SPG,1h,state_ext=neutral + state_vol=mid_vol,long,rejected,late_emerging_recent_only,367,False,145,True,0.003878623238461972,0.002434642443187435,state_vol=mid_vol,0.0005121827553275478,0.0005747373126403499,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,140,True,False
66,TMUS,1h,state_ext=neutral + state_slope=flat,short,rejected,late_emerging_recent_only,379,False,159,True,0.007361813907039704,0.005728099439565549,state_slope=flat,0.0002748656630888642,0.0004151410998127769,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,126,True,False
67,DOT/USD,1h,state_session=afternoon + state_ext=stretched_up,short,rejected,late_emerging_regime_switching,474,False,115,True,0.0043549705506568835,0.003505209344138612,state_ext=stretched_up,0.0020121400999122013,0.023580276052731275,2,0101,0.5,0,8,8,5,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,724,False,False
68,BAC,1h,state_ext=neutral + state_vol=high_vol,long,rejected,late_emerging_regime_switching,250,False,137,True,0.0038450855574275705,0.001980689560147416,state_vol=high_vol,0.00048449517202711406,0.022841480186603258,2,1001,0.5,0,7,7,6,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,708,False,False
69,ETHE,1h,state_ext=stretched_down + state_vol=low_vol,short,rejected,late_emerging_recent_only,90,False,78,True,0.012599277864311994,0.011141758518463147,state_vol=low_vol,0.008754319485358805,0.01004449107176586,1,0001,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,480,False,False
70,FBTC,1h,state_ext=neutral + state_vol=mid_vol,long,rejected,late_emerging_valid_supported,208,False,94,True,0.009178676257428887,0.010290284741162661,state_ext=neutral,0.007304343021356805,0.012668811062813035,1,0010,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,530,False,False
71,NEM,1h,state_ext=stretched_down + state_vol=high_vol,short,rejected,late_emerging_recent_only,118,False,94,True,0.011964896957479692,0.011219421201107619,state_vol=high_vol,0.006757619504948263,0.0031779090675092547,1,0001,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,275,False,False
72,URA,1h,state_ext=stretched_down + state_vol=high_vol,short,rejected,late_emerging_recent_only,144,False,79,True,0.013113665514106091,0.012152863011786244,state_vol=high_vol,0.005826313233898005,0.007597148080725757,1,0001,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,416,False,False
73,SPOT,1h,state_ext=stretched_down + state_slope=downtrend,long,rejected,late_emerging_recent_only,263,False,102,True,0.01017816935209079,0.010838891691311785,state_slope=downtrend,0.0039023205175777315,0.025577723157391263,1,0001,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,755,False,False
74,NVDA,1h,state_ext=neutral + state_slope=downtrend,short,rejected,late_emerging_recent_only,232,False,98,True,0.005775071070355964,0.006784339751525761,state_slope=downtrend,0.0032030398190522847,0.016884952037997447,1,0001,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,606,False,False
75,OXY,1h,state_ext=neutral + state_vol=mid_vol,short,rejected,late_emerging_recent_only,266,False,78,True,0.008238117152069409,0.006934066618276061,state_ext=neutral,0.0030559157425356018,0.0014470451165649045,1,0001,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,207,False,False
76,BLK,1h,state_ext=stretched_up + state_vol=high_vol,short,rejected,late_emerging_valid_supported,60,False,52,True,0.006938516943808061,0.007465715642366548,state_ext=stretched_up,0.0029481931578899155,3.300484933799197e-06,1,0010,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,32,True,True
77,EFA,1h,state_session=afternoon + state_slope=downtrend,long,rejected,late_emerging_recent_only,151,False,76,True,0.0057378939878351,0.005405348596773561,state_slope=downtrend,0.0028367913162362013,0.005447503715924951,1,0001,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,353,False,False
78,AAVE/USD,1h,state_session=afternoon + state_ext=neutral + state_slope=downtrend,long,rejected,late_emerging_valid_supported,447,False,192,True,0.004067528904363519,0.004701084358551119,state_ext=neutral + state_slope=downtrend,0.0028196121152558396,0.0123337472394065,1,0010,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,522,False,False
79,AMC,1h,state_session=morning + state_ext=stretched_up,long,rejected,late_emerging_valid_supported,106,False,111,True,0.015433823297122938,0.009511990068036548,state_ext=stretched_up,0.001897746205315888,0.003002586682606001,1,0010,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,270,False,False
80,SCHW,1h,state_ext=neutral + state_vol=high_vol,long,rejected,late_emerging_recent_only,230,False,141,True,0.004650623421096378,0.004469839417631191,state_vol=high_vol,0.0018188884072997415,0.0036797492241940066,1,0001,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,294,False,False
81,UNP,1h,state_session=afternoon + state_ext=neutral,long,rejected,late_emerging_recent_only,296,False,117,True,0.003709055663612731,0.0024180891326144975,state_session=afternoon,0.0017397844842551163,0.012412589303874011,1,0001,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,10098,524,False,False
