rank,symbol,timeframe,slice_combination,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,search_wide_family_size,search_wide_rank,search_wide_bh_pass,search_wide_bonferroni_pass
15,ASML,15m,state_session=afternoon + state_slope=downtrend,long,rejected,late_emerging_regime_switching,456,False,277,True,0.00555867437156149,0.004947825862900204,state_slope=downtrend,0.004388591757851273,0.009275627610589421,2,0101,0.5,0,8,8,8,9.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,276,False,False
16,RIVN,15m,state_session=morning + state_ext=neutral,long,rejected,late_emerging_regime_switching,732,False,273,True,0.0051386553956133335,0.004748668630709968,state_ext=neutral,0.004158889895104133,0.0002658135271502715,2,0101,0.5,0,8,8,8,9.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,67,True,False
17,INTC,15m,state_ext=neutral + state_slope=downtrend,long,rejected,late_emerging_regime_switching,978,False,346,True,0.006123199957510894,0.003502467558395921,state_slope=downtrend,0.002678460095177884,0.01175083186836412,2,1001,0.5,0,8,8,8,9.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,334,False,False
18,SUSHI/USD,15m,state_ext=stretched_up + state_vol=high_vol,short,rejected,late_emerging_regime_switching,1394,False,384,True,0.005293558229952369,0.005408855321431109,state_ext=stretched_up,0.002474569841165826,2.34856075058687e-05,2,0101,0.5,0,8,8,8,9.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,40,True,False
19,SMH,15m,state_session=afternoon + state_slope=downtrend,long,rejected,late_emerging_regime_switching,562,False,230,True,0.004376768794295687,0.0034820547004481587,state_session=afternoon,0.0024521451237684844,0.013269405587724936,2,0101,0.5,0,8,8,8,9.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,354,False,False
20,LNG,15m,state_session=morning + state_slope=downtrend,long,rejected,late_emerging_regime_switching,436,False,238,True,0.0024552440377617634,0.002680048060285746,state_session=morning,0.002204643095271058,0.0012746639486411748,2,0011,0.5,0,8,8,8,9.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,112,False,False
21,GDX,15m,state_session=afternoon + state_slope=flat,short,rejected,late_emerging_regime_switching,845,False,309,True,0.005383339093059468,0.00518592592465103,state_slope=flat,0.002185069580336191,0.004953429036822499,2,0011,0.5,0,8,8,7,8.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,193,False,False
22,SOXX,15m,state_session=afternoon + state_slope=downtrend,long,rejected,late_emerging_regime_switching,543,False,226,True,0.004572872433917056,0.0033796832152429707,state_session=afternoon,0.0021280606671398384,0.018768102526455888,2,0101,0.5,0,8,8,7,8.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,438,False,False
23,ADI,15m,state_session=afternoon + state_slope=downtrend,long,rejected,late_emerging_regime_switching,516,False,243,True,0.0035684612356397787,0.0032133783185188743,state_session=afternoon,0.0019592476454202328,0.010210711770763492,2,0101,0.5,0,8,8,7,8.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,299,False,False
24,MDLZ,15m,state_session=afternoon + state_slope=downtrend,long,rejected,late_emerging_regime_switching,468,False,260,True,0.0024097066156981376,0.0024895326661466873,state_slope=downtrend,0.0016440433364869511,0.010450347200949839,2,0101,0.5,0,8,8,7,8.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,304,False,False
25,LTC/USD,15m,state_session=lunch + state_ext=neutral + state_slope=downtrend,long,rejected,late_emerging_regime_switching,577,False,269,True,0.0015157716538015077,0.0018324736009904343,state_session=lunch + state_slope=downtrend,0.000344999905975304,0.006585299557272162,2,0011,0.5,0,8,8,7,8.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,234,False,False
26,MDLZ,15m,state_session=afternoon + state_ext=neutral + state_slope=downtrend,long,rejected,late_emerging_regime_switching,461,False,259,True,0.0024217042377856855,0.002501530288234235,state_session=afternoon + state_slope=downtrend,1.1997622087547843e-05,0.010318131694223354,2,0101,0.5,0,8,8,7,8.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,301,False,False
27,C,15m,state_ext=neutral + state_vol=low_vol,long,rejected,late_emerging_regime_switching,1689,False,455,True,0.001983805100960668,0.0015016013293207,state_vol=low_vol,5.827882113042249e-06,0.004059629578520907,2,0011,0.5,0,8,8,7,8.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,176,False,False
28,GDXJ,15m,state_session=afternoon + state_slope=flat,short,rejected,late_emerging_regime_switching,836,False,308,True,0.005421402531885211,0.005217066003647211,state_slope=flat,0.002279090566820201,0.01964701300443794,2,0011,0.5,0,8,8,6,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,455,False,False
29,GDX,15m,state_ext=neutral + state_slope=flat,short,rejected,late_emerging_regime_switching,1584,False,483,True,0.0034504288185269742,0.003253015650118537,state_slope=flat,0.0002521593058036971,0.009683920183955808,2,0011,0.5,0,8,8,6,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,292,False,False
30,AMAT,15m,state_session=afternoon + state_slope=downtrend,long,rejected,late_emerging_recent_only,544,False,262,True,0.009689366862132275,0.008336111630623174,state_session=afternoon,0.006153988109622598,0.00042396108168318847,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,79,True,False
31,LCID,15m,state_ext=stretched_up + state_vol=mid_vol,long,rejected,late_emerging_recent_only,258,False,124,True,0.006267686714005014,0.007573634073844557,state_ext=stretched_up,0.004533360794136732,0.00965288473603998,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,290,False,False
32,INTC,15m,state_session=afternoon + state_slope=downtrend,long,rejected,late_emerging_recent_only,500,False,264,True,0.010277060580373995,0.007656328181259022,state_session=afternoon,0.004116885187630404,0.003709406398441528,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,169,False,False
33,BCH/USD,15m,state_session=afternoon + state_ext=stretched_down,long,rejected,late_emerging_recent_only,398,False,140,True,0.004201658478912169,0.004724075140983775,state_ext=stretched_down,0.003527367285823004,0.013228114124630652,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,353,False,False
34,CRV/USD,15m,state_session=afternoon + state_ext=stretched_down,long,rejected,late_emerging_recent_only,941,False,246,True,0.004571934181293201,0.004819285028706613,state_ext=stretched_down,0.002200700638092258,3.254991567458454e-05,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,44,True,False
35,KLAC,15m,state_ext=stretched_up + state_vol=high_vol,long,rejected,late_emerging_recent_only,303,False,309,True,0.004630653958639352,0.0034942309407874905,state_ext=stretched_up,0.002087675372698658,0.006648388038761999,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,235,False,False
36,DOT/USD,15m,state_session=afternoon + state_ext=stretched_down,long,rejected,late_emerging_recent_only,589,False,174,True,0.0037568935059932363,0.004211964381007338,state_ext=stretched_down,0.0017866564210972462,0.0003777968769589357,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,75,True,False
37,ARM,15m,state_session=morning + state_slope=uptrend,long,rejected,late_emerging_recent_only,418,False,254,True,0.005736980322350244,0.0032260234313353942,state_slope=uptrend,0.0014031036148808443,0.012926187998641314,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,346,False,False
38,CRWD,15m,state_session=afternoon + state_ext=neutral + state_slope=uptrend,long,rejected,late_emerging_recent_only,324,False,208,True,0.005792928236902164,0.00634495007976058,state_session=afternoon + state_slope=uptrend,0.0011981690468019154,0.0032889313267785436,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,156,False,False
39,AMAT,15m,state_ext=neutral + state_slope=downtrend,long,rejected,late_emerging_recent_only,1125,False,388,True,0.004121364703902631,0.00276810947239353,state_slope=downtrend,0.001156342639300719,0.014507469548571628,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,372,False,False
40,MU,15m,state_ext=stretched_up + state_vol=high_vol,long,rejected,late_emerging_recent_only,437,False,392,True,0.00468094132109308,0.002630482476463888,state_ext=stretched_up,0.0011451783673732101,0.002692469542768361,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,153,False,False
41,DOT/USD,15m,state_ext=stretched_down + state_vol=high_vol,long,rejected,late_emerging_recent_only,1302,False,302,True,0.0029586190834341645,0.003413689958448266,state_ext=stretched_down,0.0009883819985381744,0.004900218004375345,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,191,False,False
42,CRV/USD,15m,state_ext=stretched_down + state_vol=high_vol,long,rejected,late_emerging_recent_only,1603,False,368,True,0.0032128662606459224,0.0034602171080593347,state_ext=stretched_down,0.0008416327174449799,0.003316310575675274,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,160,False,False
43,KLAC,15m,state_session=lunch + state_ext=stretched_up,long,rejected,late_emerging_recent_only,156,False,142,True,0.0033710360926016082,0.002234613074749747,state_ext=stretched_up,0.0008280575066609143,0.005457570638611742,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,205,False,False
44,SOXX,15m,state_session=lunch + state_ext=neutral + state_slope=uptrend,long,rejected,late_emerging_recent_only,470,False,184,True,0.0023731216258050885,0.0011799324071310026,state_session=lunch + state_slope=uptrend,0.0005434204195512752,0.0002784589859068376,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,70,True,False
45,ASML,15m,state_ext=neutral + state_vol=mid_vol,long,rejected,late_emerging_recent_only,1289,False,555,True,0.0032876070351741237,0.002676758526512837,state_vol=mid_vol,0.0005285297827639693,0.009188794887645457,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,275,False,False
46,PANW,15m,state_session=morning + state_slope=uptrend,long,rejected,late_emerging_recent_only,411,False,262,True,0.002789889899475261,0.0010242919325473597,state_slope=uptrend,0.0005146321587483084,0.0055792297962211634,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,211,False,False
47,SOXX,15m,state_ext=stretched_up + state_vol=high_vol,long,rejected,late_emerging_recent_only,194,False,328,True,0.002509311337047642,0.0013161221183735563,state_ext=stretched_up,0.0004141252220976658,0.0036364169329472507,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,167,False,False
48,VLO,15m,state_ext=stretched_down + state_slope=downtrend,long,rejected,late_emerging_recent_only,218,False,177,True,0.002966723699184253,0.002764354509855186,state_ext=stretched_down,0.00015037113379685017,0.007218958378772289,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,243,False,False
49,CRV/USD,15m,state_ext=stretched_down + state_slope=downtrend,long,rejected,late_emerging_recent_only,2086,False,575,True,0.002520218740970184,0.0027675695883835963,state_ext=stretched_down,0.00014898519776924144,0.0007070068946335439,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,87,False,False
50,AMD,15m,state_session=morning + state_slope=uptrend,long,rejected,late_emerging_recent_only,425,False,262,True,0.004014618754340164,0.0015587913818053529,state_slope=uptrend,0.00012467791326502145,0.0020680954644611838,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,137,False,False
51,NOW,15m,state_session=afternoon + state_slope=uptrend,long,rejected,late_emerging_valid_supported,448,False,207,True,0.007799758202371206,0.00798173280743548,state_slope=uptrend,0.006026606720092161,0.01415120092494293,1,0010,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,366,False,False
52,AAVE/USD,15m,state_session=lunch + state_slope=downtrend,long,rejected,late_emerging_recent_only,841,False,342,True,0.002212902285750957,0.002512873023491315,state_session=lunch,0.00194629745353799,0.0033123737651763463,1,0001,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,159,False,False
53,MSFT,15m,state_session=afternoon + state_slope=uptrend,long,rejected,late_emerging_valid_supported,489,False,236,True,0.0026816643612202354,0.002899131111435947,state_slope=uptrend,0.0019258513968870956,0.004183911678598218,1,0010,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,177,False,False
54,AFRM,15m,state_session=afternoon + state_slope=uptrend,long,rejected,late_emerging_valid_supported,455,False,234,True,0.005296565301276522,0.003884603483008389,state_session=afternoon,0.0018904769668777383,0.0026829020449545826,1,0010,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,151,False,False
55,XRP/USD,15m,state_ext=stretched_down + state_vol=high_vol,long,rejected,late_emerging_recent_only,1090,False,133,True,0.0038435323035585756,0.004176621751387904,state_ext=stretched_down,0.0014197837309960566,0.01093712253355461,1,0001,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,315,False,False
56,SUSHI/USD,15m,state_session=morning + state_ext=stretched_up,short,rejected,late_emerging_recent_only,804,False,261,True,0.004104249792110885,0.0042195468835896244,state_ext=stretched_up,0.0012852614033243416,0.0007832929903250907,1,0001,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,93,False,False
57,AMD,15m,state_ext=neutral + state_slope=uptrend,long,rejected,late_emerging_valid_supported,736,False,433,True,0.005099492204010442,0.0026436648314756305,state_slope=uptrend,0.0012095513629352991,0.016896415732644776,1,0010,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,406,False,False
58,RIVN,15m,state_session=morning + state_ext=neutral + state_slope=flat,long,rejected,late_emerging_valid_supported,368,False,107,True,0.006330247999005701,0.005940261234102335,state_session=morning + state_ext=neutral,0.0011915926033923673,0.02264675310419495,1,0100,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,497,False,False
59,KLAC,15m,state_session=lunch + state_slope=uptrend,long,rejected,late_emerging_recent_only,506,False,261,True,0.0023406017292023906,0.0012041787113505292,state_slope=uptrend,0.0009466806382841806,0.011628331299652128,1,0001,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,331,False,False
60,LTC/USD,15m,state_ext=stretched_down + state_vol=high_vol,long,rejected,late_emerging_recent_only,1081,False,154,True,0.0038145608869047483,0.0041312628340936745,state_ext=stretched_down,0.0009166822185369158,0.017237117991567352,1,0001,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,407,False,False
61,HOOD,15m,state_session=morning + state_ext=stretched_down + state_slope=downtrend,long,rejected,late_emerging_valid_supported,303,False,136,True,0.005516976456670683,0.004510680291969839,state_session=morning + state_ext=stretched_down,0.0008407636245231663,0.0073869102359434,1,0010,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,247,False,False
62,CRWD,15m,state_ext=neutral + state_slope=uptrend,long,rejected,late_emerging_recent_only,1006,False,548,True,0.0029200117949916725,0.0034720336378500885,state_slope=uptrend,0.0007599530638328594,0.0011322360292504996,1,0001,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,103,False,False
63,UPS,15m,state_session=morning + state_ext=neutral + state_slope=uptrend,long,rejected,late_emerging_recent_only,351,False,188,True,0.0020159057670973333,0.001882897398751656,state_ext=neutral + state_slope=uptrend,0.0006974735901916045,0.002182175068651926,1,0001,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,138,False,False
64,PANW,15m,state_session=morning + state_ext=stretched_up,long,rejected,late_emerging_recent_only,144,False,154,True,0.003152133587775173,0.0013865356208472715,state_ext=stretched_up,0.0005627598595679666,0.019400725836521415,1,0001,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,450,False,False
65,HUM,15m,state_ext=stretched_up + state_vol=high_vol,long,rejected,late_emerging_recent_only,249,False,198,True,0.0033340118830276866,0.001267792221603933,state_ext=stretched_up,0.00024746106115757774,0.00657401106756339,1,0001,0.25,0,8,7,8,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,233,False,False
66,SMH,15m,state_ext=stretched_up + state_vol=high_vol,long,rejected,late_emerging_recent_only,181,False,253,True,0.0019367992279752592,0.0010420851341277312,state_ext=stretched_up,0.0001575103306460518,0.014048054980684066,1,0001,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,362,False,False
67,MSFT,15m,state_session=afternoon + state_ext=neutral + state_slope=uptrend,long,rejected,late_emerging_valid_supported,486,False,234,True,0.0027666062060417384,0.00298407295625745,state_session=afternoon + state_slope=uptrend,8.494184482150295e-05,0.003063542077143211,1,0010,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,155,False,False
68,LLY,15m,state_ext=neutral + state_vol=mid_vol,long,rejected,late_emerging_recent_only,1494,False,526,True,0.0023871817887905055,0.0018856753484744354,state_vol=mid_vol,6.235486390997365e-05,0.00933840772440453,1,0001,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,278,False,False
69,SMH,15m,state_ext=neutral + state_vol=high_vol,long,rejected,late_emerging_regime_switching,876,False,502,True,0.00174150044323217,0.0008467863493846419,state_vol=high_vol,0.00036798569459537724,0.034330382779002466,2,0101,0.5,0,8,7,5,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,633,False,False
70,GDXJ,15m,state_ext=neutral + state_slope=flat,short,rejected,late_emerging_regime_switching,1542,False,498,True,0.003403806363415596,0.0031994698351775967,state_slope=flat,0.00026149439835058616,0.0264928305269847,2,0011,0.5,0,8,8,4,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,547,False,False
71,KLAC,15m,state_session=afternoon + state_slope=downtrend,long,rejected,late_emerging_recent_only,500,False,236,True,0.006006538528764232,0.00487011551091237,state_session=afternoon,0.0036489052179484354,0.02933781733170049,1,0001,0.25,0,8,8,6,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,580,False,False
72,INTC,15m,state_ext=stretched_up + state_vol=mid_vol,long,rejected,late_emerging_valid_supported,230,False,105,True,0.0067185838722619165,0.004097851473146944,state_ext=stretched_up,0.0033620324380794226,0.043105813718608665,1,0010,0.25,0,8,8,6,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,723,False,False
73,RIVN,15m,state_session=morning + state_slope=flat,long,rejected,late_emerging_recent_only,458,False,155,True,0.004440542133101753,0.0040505553681983875,state_slope=flat,0.003300219175214932,0.03877364962596186,1,0001,0.25,0,8,8,6,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,677,False,False
74,CRWD,15m,state_session=afternoon + state_slope=uptrend,long,rejected,late_emerging_valid_supported,363,False,251,True,0.004594759190100248,0.005146781032958665,state_slope=uptrend,0.0024347004589414353,0.023016028220908202,1,0010,0.25,0,8,8,6,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,504,False,False
75,PSX,15m,state_session=morning + state_slope=flat,long,rejected,late_emerging_recent_only,509,False,190,True,0.0024371635645700895,0.002545964618910904,state_slope=flat,0.0015077498705450068,0.007618789910940116,1,0001,0.25,0,8,8,6,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,251,False,False
76,UNG,15m,state_session=morning + state_ext=neutral,long,rejected,late_emerging_recent_only,698,False,348,True,0.0017613884817876688,0.002094833140406886,state_session=morning,0.0015028811273673306,0.030818303080850207,1,0001,0.25,0,8,8,6,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,596,False,False
77,XBI,15m,state_session=afternoon + state_slope=downtrend,long,rejected,late_emerging_recent_only,504,False,261,True,0.0033709136344531572,0.002904283881106005,state_session=afternoon,0.0014015537824674917,0.010380772797500493,1,0001,0.25,0,8,8,6,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,302,False,False
78,CMCSA,15m,state_session=morning + state_slope=downtrend,short,rejected,late_emerging_recent_only,445,False,227,True,0.0026535713493530066,0.0022344214572791957,state_slope=downtrend,0.0013552703651560263,0.0015355230653413265,1,0001,0.25,0,8,8,6,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,119,False,False
79,ASML,15m,state_session=lunch + state_slope=uptrend,long,rejected,late_emerging_recent_only,560,False,242,True,0.0018078239484076435,0.0011969754397463568,state_slope=uptrend,0.0008668322863872734,0.03278310879059543,1,0001,0.25,0,8,8,6,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,614,False,False
80,AAPL,15m,state_session=afternoon + state_slope=flat,long,rejected,late_emerging_recent_only,784,False,270,True,0.002133688870682999,0.0018127234043157372,state_slope=flat,0.0006830348511475623,0.009402698037434876,1,0001,0.25,0,8,8,6,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,8576,279,False,False
